# policy_name: pi05ft
# run_path: eval_output/PiPolicyEvalConfig/20260422_204652
# dt: 0.067
# max_steps: None
policy,category,successes,total,success_rate_pct,ci_95_low_pct,ci_95_high_pct,jerk_joint_mean,jerk_joint_std
pi05ft,Cabinet,11,131,8.4,4.79,14.42,117.725758,34.814695
pi05ft,Chestofdrawers,26,124,20.97,14.74,28.97,119.019562,34.175145
pi05ft,Desk,2,17,11.76,3.58,34.71,112.797313,19.693189
pi05ft,Dishwasher,2,26,7.69,2.35,24.29,128.820665,37.439039
pi05ft,Drawer,9,85,10.59,5.72,18.94,113.327734,31.665374
pi05ft,Microwaveoven,0,10,0.0,0.23,28.49,113.34639,24.867292
pi05ft,Oven,9,37,24.32,13.4,40.24,121.004081,41.502883
pi05ft,Refrigerator,3,26,11.54,4.19,29.16,105.986314,31.126893
pi05ft,Stand,13,82,15.85,9.54,25.29,105.60302,28.341516
pi05ft,OVERALL,75,538,13.94,11.27,17.13,115.438579,33.71975
